day_obs,visit,detector,band,physical_filter,ra,dec,zenithDistance,zeroPoint,skyBg,skyNoise,psfSigma,psfArea,nPsfStar,astromOffsetMean,astromOffsetStd,expTime,astrometry_matches_count,cosmic_ray_count,final_psf_sigma,matched_psf_star_count,photometry_matches_count,psf_available_star_count,psf_good_star_count,saturated_source_count,star_count
20201208,76482092,0,r,R,56.66516547367352,43.228288020890545,27.233718872070312,25.81787872314453,43.02936935424805,8.21306324005127,4.435681343078613,53.10015106201172,4,0.07750377058982849,0.025877846404910088,10.0,5.0,9.0,4.376725489336364,10.0,14.0,6.0,6.0,7.0,14.0
20201208,76482095,0,r,R,56.68100539452915,43.185970508260056,29.86031723022461,25.856260299682617,822.2666015625,23.5782527923584,4.4784698486328125,256.4749450683594,3,0.6271889209747314,0.0489271879196167,180.0,4.0,58.0,4.511358676345187,20.0,6.0,9.0,9.0,4.0,26.0
20201220,76606103,0,r,R,56.676665767680994,43.22121660161723,8.613237380981445,25.870582580566406,30.80767822265625,7.308965682983398,2.8527791500091553,142.9786376953125,41,0.032383013516664505,0.019063761457800865,10.0,50.0,4.0,2.853404958266075,50.0,59.0,42.0,42.0,5.0,75.0
20201220,76606106,0,r,R,56.67653205573616,43.221138765363946,11.196596145629883,28.97574806213379,560.4266357421875,19.72915267944336,3.54164719581604,174.7366943359375,29,0.015327698551118374,0.00941470731049776,180.0,35.0,62.0,3.539585183969009,73.0,91.0,53.0,45.0,7.0,112.0
20201220,76606107,0,i,I,56.676593063900434,43.221121889711945,11.783228874206543,28.591773986816406,492.09613037109375,18.874547958374023,3.2425601482391357,159.8671417236328,52,0.028178172186017036,0.016834963113069534,180.0,59.0,56.0,3.24342844816384,79.0,89.0,97.0,86.0,7.0,116.0
20210219,77206088,0,r,R,56.6755009565342,43.2302130872057,15.691415786743164,25.49657440185547,130.17535400390625,10.03272533416748,2.3284809589385986,88.53382873535156,31,0.021509826183319092,0.015592494048178196,10.0,38.0,6.0,2.330469761097366,42.0,44.0,32.0,32.0,2.0,50.0
20210219,77206091,0,r,R,56.675821559093244,43.23003973888997,20.86333656311035,29.672945022583008,1969.96923828125,35.48100280761719,2.0882081985473633,74.30573272705078,105,0.010906016454100609,0.0066234637051820755,330.0,61.0,125.0,2.0878120390053834,149.0,159.0,116.0,108.0,24.0,198.0
20210219,77206092,0,i,I,56.67586186294006,43.230005939968756,22.060096740722656,29.305477142333984,2918.66357421875,45.505638122558594,2.122948169708252,74.54448699951172,115,0.010364395566284657,0.005542115308344364,390.0,63.0,120.0,2.12333920421666,145.0,150.0,129.0,129.0,24.0,190.0
20210301,77309083,0,r,R,56.66969525690454,43.226553277474316,41.17233657836914,25.701629638671875,64.09945678710938,8.391117095947266,1.4784624576568604,43.39244079589844,55,0.04158434644341469,0.023404797539114952,10.0,75.0,6.0,1.4771695822185829,64.0,66.0,78.0,77.0,7.0,70.0
20210301,77309084,0,r,R,56.67477090118414,43.22970975875936,48.09480285644531,25.681795120239258,70.52352905273438,8.541714668273926,1.74403715133667,61.80971908569336,49,0.03760867565870285,0.01944386214017868,10.0,68.0,7.0,1.747655366554038,56.0,57.0,64.0,63.0,3.0,60.0
