day_obs,visit,detector,band,physical_filter,ra,dec,zenithDistance,zeroPoint,skyBg,skyNoise,psfSigma,psfArea,nPsfStar,astromOffsetMean,astromOffsetStd,expTime,astrometry_matches_count,cosmic_ray_count,final_psf_sigma,matched_psf_star_count,photometry_matches_count,psf_available_star_count,psf_good_star_count,saturated_source_count,star_count
20230528,85480088,0,r,R,210.9093016460025,54.360830607383754,18.964365005493164,26.58292007446289,94.2392578125,9.936382293701172,3.121040105819702,168.6482696533203,5,3.715183022334756e-11,3.225864714240245e-11,20.0,3.0,15.0,3.0703029073388035,6.0,1.0,9.0,9.0,1.0,7.0
20230528,85480089,0,r,R,210.92031206531703,54.31013717178923,18.765281677246094,26.56100845336914,93.68160247802734,9.83003044128418,2.6859350204467773,138.57989501953125,8,0.036907028406858444,0.021133488044142723,20.0,9.0,9.0,2.693097108540518,9.0,10.0,8.0,8.0,2.0,9.0
20230528,85480093,0,r,R,210.91916031911245,54.3099985605793,17.75587272644043,26.589815139770508,87.54939270019531,9.723315238952637,3.501338481903076,187.74896240234375,4,0.01893284171819687,0.008493361063301563,20.0,5.0,10.0,3.497629041296545,7.0,7.0,8.0,8.0,1.0,7.0
20230528,85480094,0,r,R,210.91930350621882,54.31003450314617,17.535598754882812,26.55771255493164,89.18791198730469,9.73554801940918,3.292696952819824,169.85531616210938,8,0.029896818101406097,0.011430489830672741,20.0,8.0,6.0,3.294977312947585,8.0,9.0,9.0,9.0,1.0,8.0
20230528,85480106,0,r,R,210.9228238257372,54.30993204590356,18.254594802856445,26.560325622558594,76.19821166992188,9.241778373718262,3.77248477935791,178.89041137695312,5,0.04378632828593254,0.018964510411024094,20.0,6.0,13.0,3.7553793910004987,8.0,10.0,6.0,6.0,2.0,9.0
20230528,85480107,0,r,R,210.92259741968843,54.30989593752202,18.336835861206055,26.571247100830078,75.18131256103516,9.250199317932129,3.886817216873169,207.64195251464844,3,0.024198519065976143,0.012608340941369534,20.0,7.0,10.0,3.868346154626163,3.0,6.0,8.0,8.0,2.0,5.0
20230528,85480109,0,i,I,210.9227092706275,54.30997324549321,18.566484451293945,26.13629913330078,77.55361938476562,9.243501663208008,3.6397695541381836,191.79832458496094,2,0.00724481837823987,0.0045429617166519165,20.0,4.0,12.0,3.752921754626861,4.0,3.0,7.0,7.0,2.0,4.0
20230528,85480110,0,i,I,210.9228407580571,54.30988273108141,18.672847747802734,26.230266571044922,75.06246185302734,9.171570777893066,3.6950340270996094,189.4890594482422,6,0.05446286126971245,0.008486525155603886,20.0,4.0,12.0,3.670925733884135,9.0,10.0,9.0,9.0,0.0,9.0
20230528,85480111,0,i,I,210.8008247428256,54.31199845637901,18.80986976623535,28.60236358642578,75.14320373535156,9.188518524169922,3.468634843826294,163.73800659179688,8,2.5470027129048667e-11,2.6847460019019387e-11,20.0,3.0,10.0,3.4384562917738304,9.0,5.0,9.0,9.0,1.0,9.0
20230528,85480112,0,i,I,210.92281980134007,54.30989652162444,18.87594223022461,26.153995513916016,76.73709106445312,9.292755126953125,3.8367505073547363,204.82424926757812,5,0.04306445270776749,0.019955972209572792,20.0,6.0,5.0,3.833806306548317,6.0,6.0,8.0,8.0,2.0,6.0
20230528,85480113,0,i,I,210.92278112076914,54.30995265340989,18.986785888671875,26.221145629882812,73.88866424560547,9.011083602905273,3.3484020233154297,156.80335998535156,9,0.028510870411992073,0.0232947189360857,20.0,7.0,5.0,3.332683586645676,9.0,10.0,10.0,10.0,1.0,9.0
20230528,85480128,0,r,R,210.82608646240317,54.37423970199995,32.265323638916016,28.582164764404297,432.52587890625,16.593032836914062,3.78035306930542,187.10926818847656,5,4.9595036410998716e-11,5.36701065534384e-12,40.0,2.0,14.0,3.782097885846822,7.0,2.0,5.0,5.0,1.0,7.0
20230528,85480131,0,r,R,210.93042133009573,54.304215025683426,35.10002136230469,27.28984832763672,135.02883911132812,11.265902519226074,4.204625606536865,223.62904357910156,2,0.039491381496191025,0.02324177324771881,40.0,5.0,13.0,4.268365031025383,2.0,2.0,9.0,9.0,1.0,3.0
20230528,85480132,0,r,R,210.93052991070797,54.30417697596269,35.39225387573242,27.29827308654785,128.94180297851562,11.048359870910645,3.593475103378296,181.9046630859375,5,0.02024485543370247,0.013692415319383144,40.0,5.0,12.0,3.59619588803501,9.0,12.0,8.0,8.0,1.0,10.0
20230528,85480137,0,i,I,210.9305181053359,54.30428112587332,37.179405212402344,26.455812454223633,214.3948974609375,12.897852897644043,3.4255123138427734,169.5972137451172,4,0.031308211386203766,0.009522569365799427,40.0,5.0,13.0,3.4389665979985358,6.0,7.0,6.0,6.0,0.0,7.0
20230528,85480145,0,r,R,210.92586827144856,54.30477414049286,51.23368453979492,27.026742935180664,190.18008422851562,12.597179412841797,2.5451412200927734,95.22857666015625,10,0.01963942125439644,0.009372340515255928,40.0,9.0,15.0,2.528216725630187,13.0,14.0,11.0,11.0,0.0,15.0
20230520,85628092,0,r,R,210.9202972623962,54.309033890158155,23.757158279418945,25.877174377441406,36.83592987060547,8.07000732421875,2.7323386669158936,121.83757781982422,9,0.04757389426231384,0.027915988117456436,10.0,8.0,6.0,2.7222395155334422,9.0,10.0,9.0,9.0,1.0,9.0
20230520,85628095,0,r,R,210.92069004258283,54.309235063873324,22.006620407104492,27.793811798095703,217.16903686523438,14.592687606811523,2.636368751525879,121.27184295654297,11,0.015136199072003365,0.007037862669676542,60.0,7.0,31.0,2.6353633246646666,11.0,14.0,13.0,13.0,9.0,15.0
20230520,85628096,0,i,I,210.92067848923048,54.309187917673626,21.702558517456055,27.469730377197266,172.9272003173828,13.435202598571777,2.8320486545562744,131.48451232910156,10,0.024608636274933815,0.01270805299282074,60.0,9.0,19.0,2.8269116943723076,10.0,11.0,17.0,17.0,1.0,11.0
20230520,85628110,0,r,R,210.92129812097022,54.3094693913109,16.93865203857422,27.898775100708008,196.135009765625,18.993284225463867,3.042191505432129,99.9618148803711,0,0.021127698943018913,0.010100296698510647,60.0,8.0,17.0,3.097383827992574,1.0,1.0,4.0,4.0,3.0,1.0
20230520,85628111,0,i,I,210.92126294533094,54.309487150874226,16.96779441833496,27.45524787902832,161.17208862304688,13.47091293334961,2.705159902572632,121.17450714111328,10,0.01579357124865055,0.009812562726438046,60.0,8.0,29.0,2.7008930162169564,11.0,12.0,14.0,14.0,2.0,11.0
20230520,85628123,0,r,R,210.9276325171838,54.30953995918324,21.59891700744629,25.921192169189453,31.49272918701172,7.593033790588379,2.33213472366333,83.69232940673828,9,0.028076568618416786,0.010965706780552864,10.0,8.0,9.0,2.3254320339999324,10.0,11.0,9.0,9.0,0.0,12.0
20230520,85628128,0,r,R,210.92817568303295,54.30951905777349,22.638763427734375,27.814979553222656,196.68893432617188,13.890286445617676,3.9039950370788574,198.09547424316406,6,0.02994658052921295,0.01685856468975544,60.0,7.0,19.0,3.897531041775031,6.0,9.0,11.0,11.0,3.0,8.0
20230520,85628129,0,i,I,210.92823965133599,54.30949477578487,22.820051193237305,27.35700225830078,171.47035217285156,12.872408866882324,3.196272134780884,153.2205810546875,8,0.033149685710668564,0.028102556243538857,60.0,10.0,15.0,3.195618914316896,8.0,11.0,13.0,13.0,3.0,13.0
20230520,85628140,0,r,R,210.93158054783183,54.30956293918797,33.46541213989258,25.8867244720459,32.925846099853516,7.517354488372803,2.821000576019287,108.96743774414062,7,0.028319211676716805,0.022803569212555885,10.0,7.0,8.0,2.822066031757127,9.0,10.0,8.0,8.0,0.0,10.0
20230520,85628145,0,r,R,210.93114127703444,54.31000201765758,36.67268753051758,27.75376319885254,200.5533905029297,13.884415626525879,4.284911155700684,321.4473876953125,1,0.09974794834852219,0.10242846608161926,60.0,7.0,23.0,4.250289902447631,2.0,3.0,5.0,5.0,2.0,3.0
