day_obs,visit,detector,band,physical_filter,ra,dec,zenithDistance,zeroPoint,skyBg,skyNoise,psfSigma,psfArea,nPsfStar,astromOffsetMean,astromOffsetStd,expTime,astrometry_matches_count,cosmic_ray_count,final_psf_sigma,matched_psf_star_count,photometry_matches_count,psf_available_star_count,psf_good_star_count,saturated_source_count,star_count
20240906,90151287,0,v,V,349.4988213266602,48.78084478634541,28.70240020751953,26.723899841308594,69.222412109375,8.769648551940918,3.674179792404175,123.15360260009766,0,0.1474943608045578,0.09286260604858398,30.0,10.0,9.0,3.7074591308104967,7.0,7.0,7.0,7.0,7.0,7.0
20240906,90151290,0,v,V,349.498764569949,48.78076593326435,29.618263244628906,26.680095672607422,70.36487579345703,8.750001907348633,3.463399648666382,135.4714813232422,7,0.1802573949098587,0.1282668262720108,30.0,13.0,19.0,3.451411468627888,49.0,58.0,12.0,12.0,5.0,56.0
20240906,90151291,0,v,V,349.4987638462911,48.7807498203619,29.788036346435547,26.760772705078125,69.85369110107422,8.720110893249512,3.2119648456573486,135.74365234375,23,0.052966926246881485,0.0302769523113966,30.0,24.0,23.0,3.2090014393265203,33.0,47.0,35.0,33.0,8.0,55.0
20240906,90151292,0,v,V,349.498759987966,48.780780502401996,29.957935333251953,26.772964477539062,69.76542663574219,8.691413879394531,2.429203510284424,89.72723388671875,6,0.04755466431379318,0.023010162636637688,30.0,15.0,15.0,2.468734554098947,9.0,14.0,23.0,23.0,8.0,16.0
20240906,90151293,0,v,V,349.4987505064511,48.780677761215244,30.12792205810547,26.7576904296875,70.02653503417969,8.81926155090332,3.2054858207702637,114.98416137695312,2,0.02750464715063572,0.02008255198597908,30.0,7.0,26.0,3.094218771032087,19.0,27.0,8.0,8.0,8.0,30.0
20240906,90151294,0,v,V,349.49879537507906,48.7807861827292,30.29798698425293,26.772184371948242,70.19668579101562,8.839550018310547,3.179333209991455,143.50035095214844,8,0.08558179438114166,0.07259397953748703,30.0,10.0,13.0,3.2091693548826807,17.0,21.0,14.0,14.0,7.0,25.0
20240906,90151295,0,v,V,349.4988098075486,48.78077162817781,30.468149185180664,26.75123405456543,70.59053039550781,8.866284370422363,3.330686092376709,151.844970703125,10,0.08199134469032288,0.04465074464678764,30.0,16.0,16.0,3.2596494081667595,27.0,40.0,17.0,16.0,5.0,46.0
20240906,90151296,0,v,V,349.49879906571334,48.78078104993636,30.63842010498047,26.74237823486328,70.74781799316406,8.86448860168457,3.393889904022217,144.85020446777344,5,0.07379118353128433,0.04084782674908638,30.0,9.0,11.0,3.417077282394023,23.0,31.0,10.0,10.0,7.0,37.0
20240906,90151297,0,v,V,349.4987830985094,48.78086612692017,30.808792114257812,26.76589012145996,70.82755279541016,8.7048978805542,3.169016122817993,150.9807586669922,4,0.05694230645895004,0.020738812163472176,30.0,9.0,6.0,3.230352660034698,7.0,10.0,13.0,13.0,7.0,10.0
20240906,90151298,0,v,V,349.4987663257771,48.78087576615819,30.979280471801758,26.753936767578125,71.34304809570312,8.585566520690918,2.54201078414917,99.91442108154297,2,0.40107330679893494,0.22730652987957,30.0,10.0,17.0,2.603561446688272,4.0,6.0,8.0,8.0,4.0,7.0
20240906,90151299,0,v,V,349.4987946102902,48.78078724349774,31.14975357055664,26.76854705810547,71.59730529785156,8.65260124206543,2.5299487113952637,58.72990417480469,5,0.06080340966582298,0.04395280405879021,30.0,7.0,16.0,2.566106045302544,14.0,20.0,8.0,8.0,3.0,25.0
20240906,90151301,0,v,V,349.4988891819501,48.781043611863915,31.490982055664062,26.7757511138916,72.34736633300781,8.832690238952637,3.283492088317871,128.03541564941406,0,0.09367294609546661,0.05072753503918648,30.0,20.0,10.0,3.390479476953619,4.0,5.0,10.0,9.0,6.0,5.0
20240906,90151302,0,v,V,349.49884840014437,48.780845218077495,31.661741256713867,26.752662658691406,72.29525756835938,8.875079154968262,3.253558874130249,138.53170776367188,12,0.05376315116882324,0.02803594432771206,30.0,17.0,12.0,3.184789446023431,33.0,50.0,14.0,14.0,5.0,58.0
20240906,90151303,0,v,V,349.49888124769217,48.78089605006617,31.83254623413086,26.680418014526367,72.55646514892578,8.903304100036621,3.119366407394409,123.80864715576172,3,0.22727517783641815,0.13855229318141937,30.0,16.0,11.0,3.0962864045048284,37.0,46.0,14.0,14.0,4.0,46.0
20240906,90151304,0,v,V,349.4052675507588,48.70587199905646,32.057945251464844,31.612401962280273,72.88286590576172,8.945063591003418,3.496227502822876,155.74330139160156,4,0.08122995495796204,0.05861441791057587,30.0,4.0,10.0,3.488689883768224,39.0,16.0,11.0,11.0,8.0,50.0
20240906,90151305,0,v,V,349.49876818001303,48.78082232753584,32.17442321777344,26.73933219909668,73.3125228881836,8.954668998718262,3.5613558292388916,160.6710205078125,10,0.04912145808339119,0.03468224033713341,30.0,15.0,10.0,3.5546610644485086,29.0,45.0,16.0,16.0,8.0,56.0
20240906,90151306,0,v,V,349.4835613980929,48.76508840021841,32.35404586791992,26.75415802001953,73.87495422363281,8.937199592590332,3.8643195629119873,121.1819839477539,0,0.09887108206748962,0.0739934965968132,30.0,4.0,17.0,3.8119599416424093,17.0,6.0,5.0,5.0,8.0,24.0
20240906,90151307,0,v,V,349.498738008314,48.7808507048639,32.51652145385742,26.74947166442871,74.39179229736328,8.946690559387207,3.4397478103637695,157.7255401611328,12,0.025549909099936485,0.013389318250119686,30.0,11.0,12.0,3.403280570514669,40.0,53.0,13.0,13.0,7.0,62.0
20240906,90151308,0,v,V,349.49887970253485,48.780988974996234,32.687599182128906,26.731304168701172,73.78273010253906,8.987279891967773,2.88147234916687,136.2049560546875,1,0.30936112999916077,0.19355551898479462,30.0,6.0,8.0,3.0383120502217364,5.0,9.0,7.0,7.0,5.0,8.0
